x,y,z,cluster
-6.5414124,0.15587743,0.5635926,2
-6.804806,15.226518,-1.6535339,2
-15.602537,6.586447,0.3396204,2
-2.0367267,-3.1779263,6.5630875,5
-11.425654,10.118919,-0.64826345,2
12.943921,7.5606365,-1.1442357,1
-13.074007,8.394164,-0.8162559,2
-17.122568,4.13107,1.0466624,2
-17.035515,3.4505765,0.84902966,2
-15.57246,6.636634,0.3108014,2
-18.258032,1.0835463,1.3075883,2
-7.571059,14.248546,-1.0279402,2
11.434784,8.817957,-1.1249661,1
13.764892,6.0862155,-0.5291982,1
-15.600381,6.2588897,0.22259964,2
-11.211088,10.211673,-0.70675766,2
16.122229,1.669824,-0.47719058,1
-13.369542,8.86068,0.06752451,2
-17.388428,3.670821,0.3162627,2
14.659451,4.8462214,-0.5889117,1
-1.603056,4.4686823,1.9554244,2
-6.294922,-0.37254018,0.5354759,2
-5.4297223,-0.38666877,-18.536581,0
-1.6510822,-0.47233674,16.153036,5
16.612701,-0.010615943,-0.8609916,1
0.6685377,4.4958434,0.49187654,1
-8.1840105,12.801677,-1.4485328,2
0.9629641,4.493551,0.080679506,1
13.12146,7.6723056,-0.7832108,1
-4.4816437,-2.35208,-8.205012,0
-1.1570666,-5.6309757,8.084674,5
-2.086568,-0.5087418,15.395889,5
-1.3986003,4.6768575,0.75802314,1
4.250655,3.857128,-3.1870723,1
-6.804806,15.226518,-1.6535339,2
11.505538,8.901449,-1.0210528,1
15.691245,1.405228,-0.5055832,1
16.837337,-1.1806703,-0.35197923,1
-7.035938,0.18457742,0.21139444,2
3.7851748,3.6333,-3.9989412,1
-13.400115,8.013447,-0.6647838,2
-4.5357103,-2.4339964,-7.91734,0
-17.545559,1.0371372,1.303232,2
-11.775054,-5.5296874,0.9842314,2
17.4076,-1.4462838,0.013272878,1
14.940017,3.6790767,-0.7682654,1
-17.946499,1.1350898,1.6832904,2
16.053194,0.5993135,-0.21094167,1
-8.411627,12.611194,-1.2090868,2
-2.086568,-0.5087418,15.395889,5
-13.092533,8.693962,-0.79876703,2
4.8863835,11.236464,-1.8590242,1
-1.603056,4.4686823,1.9554244,2
-8.277058,12.744455,-0.8409921,2
-11.091382,-4.27197,2.7793286,2
-2.3254242,0.425776,17.117208,5
16.080797,0.6168695,-0.9809348,1
-8.1840105,12.801677,-1.4485328,2
-13.369542,8.86068,0.06752451,2
-11.751222,-4.21482,2.9918895,2
-8.718902,13.325013,-1.2535846,2
-11.273756,-5.2056303,2.3028362,2
-4.813911,2.4127762,1.1332364,2
-2.1590538,0.27106172,16.383389,5
-11.622318,-4.6661882,3.3758233,2
-1.7605319,4.5225406,0.6996923,2
0.49471155,4.526771,0.43953142,1
-9.912132,11.722808,-0.8595678,2
-11.883378,-4.4856677,3.1166294,2
-0.19579877,-6.0810246,3.6632683,4
-7.4228106,13.930151,-1.5769536,2
-0.8393165,-2.70922,9.058383,5
-1.8505427,0.68190503,17.00881,5
-4.525828,2.6096246,1.1522117,2
9.62055,10.107441,-1.1410052,1
15.207683,3.837316,-0.3610068,1
16.96903,-0.802099,-0.6431138,1
4.8505397,1.8698144,4.337758,1
13.630621,6.072712,-0.7127186,1
0.13620535,4.510072,2.1164236,1
17.67859,-1.429958,0.32770076,1
16.564964,0.80607384,-0.4020826,1
13.764892,6.0862155,-0.5291982,1
16.122229,1.669824,-0.47719058,1
-0.6042708,-2.8267539,-10.445558,0
-5.988644,-2.438671,-5.043979,2
5.131122,-5.596423,-1.7055342,1
-3.7919738,-0.4943975,-14.114099,0
-17.438498,3.931037,1.0209152,2
-8.718902,13.325013,-1.2535846,2
15.852528,0.5096712,-0.7011765,1
-13.580856,8.185852,0.027875531,2
15.691245,1.405228,-0.5055832,1
-1.6510822,-0.47233674,16.153036,5
-2.1590538,0.27106172,16.383389,5
2.5200498,-2.226917,-5.146624,1
-13.694815,8.473598,0.12653954,2
-0.36685094,4.6077456,0.5436539,1
-6.770505,14.745394,-1.4126804,2
-2.0011237,-0.38345307,16.670404,5
-4.6130342,0.086922534,-17.020475,0
15.207683,3.837316,-0.3610068,1
16.408121,-0.61381435,-0.47238493,1
15.940886,1.4891322,-0.89349306,1
-1.6119047,4.2298713,0.8144508,2
1.9696388,4.413309,-0.44512373,1
-15.448997,6.3272657,-0.04182736,2
-2.778432,3.96339,1.2860416,2
0.5149782,-2.6941867,6.0038357,5
-1.5476736,-0.6472118,15.45959,5
-13.845339,8.841422,-0.82454866,2
4.5251617,1.1696093,3.9329593,1
-11.273756,-5.2056303,2.3028362,2
-6.6348944,-0.14596501,0.001204551,2
14.876472,3.6698542,-0.42102638,1
-4.3465657,-3.021565,4.5796547,5
