x,y,z,cluster
52.634304,38.289223,4.985186,2
-58.655434,-16.160234,-47.429375,1
28.943903,8.709047,54.588123,2
32.795692,-30.750391,8.884253,1
-61.040176,-1.2679577,18.769993,1
-5.146163,-73.71351,-47.984825,1
23.234625,-18.538496,66.6093,2
12.803761,39.144783,22.83661,2
33.167717,-7.511506,37.376926,2
20.736557,-0.8585926,64.0311,2
28.420858,48.760605,14.114174,3
-4.315988,19.191952,33.043774,2
-31.56084,-29.3406,-77.81447,1
-21.864248,-57.785378,-60.086235,1
-48.157978,31.377941,44.668777,0
-28.514101,-4.0298357,22.596836,0
-2.0834692,1.8709943,-61.243267,1
2.2572353,48.266476,37.36083,3
50.04524,52.6495,50.951775,2
-23.571808,-57.338215,-42.52068,1
-27.519829,81.531815,15.968112,3
-12.713584,14.857224,57.304157,2
-31.789433,-7.627891,-25.861706,1
65.467316,-28.034803,-2.1442776,0
-17.403921,-36.288692,-28.532478,1
-42.863632,-81.52443,3.2841783,1
11.749323,39.39942,-49.48937,1
1.6583298,-46.57557,2.1984057,0
-43.8251,-60.772106,-53.19063,1
-24.692728,-13.58425,-8.183157,1
-41.78281,7.590138,-43.16986,1
53.67357,-59.845238,0.7601026,1
18.328732,2.862315,-9.656421,1
74.294106,7.3489413,-2.2586107,2
-58.655434,-16.160234,-47.429375,1
2.9634178,21.29022,-74.675156,1
0.2704191,-22.599152,-35.123543,1
-0.5830891,-52.837475,-39.4354,1
14.367984,92.30114,8.922135,3
68.818054,10.1631565,-13.880276,2
-33.633713,16.073505,44.2422,2
-37.544914,3.7714586,-10.8191,1
39.79268,58.030697,-16.833794,3
-4.2985053,20.45094,79.46621,2
-10.966223,-52.55737,20.554947,0
-32.05316,-69.29413,-28.19938,1
24.86957,36.652477,-15.437156,2
-42.46149,-45.055676,-17.73002,1
-14.016765,-7.7020717,63.518955,2
70.3997,-52.54596,0.29102787,1
23.623549,20.379837,67.98796,2
-35.64774,-2.0251455,48.389507,2
-26.691551,66.70028,6.409314,3
9.708531,-37.613243,28.27255,0
45.20662,72.68036,23.840343,3
59.468853,-40.0549,18.92211,1
19.828922,-55.399544,-4.126739,0
22.73987,35.08402,-38.052685,1
-4.9433966,50.224426,24.177952,3
43.09387,25.874414,14.866092,2
4.6208544,25.82652,-25.290728,1
50.93828,-1.3740953,11.391354,2
18.035736,4.0749755,36.89541,2
42.20224,-53.546043,23.250109,1
4.3977995,-0.09680745,66.38809,2
43.541924,1.5933385,-45.960186,1
47.092453,26.29575,-22.59574,2
-16.497519,16.570812,10.65674,0
57.022865,24.014322,17.01906,2
-28.113441,27.520792,2.089002,0
21.192144,32.324986,50.935413,2
-68.5308,24.033726,3.8713317,0
45.23987,-38.31625,0.15322678,0
-45.49297,9.355189,30.092583,0
33.67293,12.463803,-12.208105,1
-9.97801,0.76543593,-78.05636,1
10.22256,-63.402885,-31.936785,1
-71.73947,3.705213,50.009464,0
39.54533,-34.453674,-42.652687,0
7.00701,-71.29801,-3.7630475,0
2.2966743,-60.28203,11.730438,0
-2.298632,-32.255066,-15.096343,1
-21.864248,-57.785378,-60.086235,1
-2.0834692,1.8709943,-61.243267,1
-28.608072,61.771786,-38.11791,0
19.035242,-12.410994,-44.784748,1
-4.9211316,-18.924623,-67.31582,1
-3.384576,38.74737,69.391075,2
47.28098,19.098253,36.108353,2
4.7378345,43.523716,-31.489973,1
13.527122,-33.38395,-38.05215,1
-20.780008,12.902924,32.16421,2
9.133329,-17.469982,-24.431343,1
65.467316,-28.034803,-2.1442776,0
42.20224,-53.546043,23.250109,1
-21.74707,-22.59014,68.760956,2
34.414234,17.62839,-46.1609,1
-15.769383,29.296373,48.033062,2
2.3206692,-39.487617,45.08975,0
-38.625423,24.448833,-45.701332,1
-19.340765,2.3472812,-14.141088,2
-14.050521,14.002243,-68.08699,1
-6.358268,-65.53441,-28.260288,1
-37.859394,-43.07056,-34.295124,1
0.17037933,18.843527,106.76444,1
37.57646,-50.14302,-45.691814,0
-41.502716,32.44295,1.6465856,0
-29.915623,32.052094,23.935469,0
42.401848,-48.918667,47.764904,1
-47.45978,53.65471,-33.04635,0
-35.793716,8.104979,-74.25305,0
37.80148,34.80733,-70.60638,0
38.872444,-0.23209009,15.580311,2
13.703729,71.21298,-21.71861,3
39.44258,-8.868646,-26.906593,1
-68.31496,-29.759235,34.689724,2
-44.19077,-25.716722,-76.250244,1
17.6845,-21.565218,0.7520329,1
10.274648,20.5074,-42.06015,1
-9.909357,-69.198906,12.701926,0
-15.406531,3.4839354,76.919266,2
-36.75176,-22.419113,9.058827,1
11.976954,-16.934414,79.41264,2
-62.617188,42.3632,20.97894,3
-35.97748,-43.755596,-54.1522,1
-19.719597,-2.4991932,-62.36121,1
-14.45676,-41.802853,-53.41842,1
-58.24039,49.186455,-27.016607,0
-68.31496,-29.759235,34.689724,2
48.104126,73.0545,2.4472277,3
-42.390175,-53.808414,19.123766,0
-30.16394,-35.276546,75.301155,2
-10.539621,-7.015199,12.985634,0
-53.609436,-11.603775,-12.56242,1
