x,y,z,cluster
-10.102075,-2.561565,-3.4355204,2
11.513458,-8.245348,-2.477862,1
-6.008134,-12.687182,-2.470022,2
1.4201965,14.694783,-11.198311,0
-4.884921,-13.712725,1.5335313,2
15.479181,-0.5998402,-0.33499283,1
-5.3276763,-13.7798,0.95455915,2
-6.4274964,-11.472623,-4.673994,2
-6.5875907,-11.389338,-4.9687433,2
-5.9019156,-12.894949,-2.0007367,2
-6.7369986,-10.539508,-6.7745605,2
-5.9005103,-6.425594,-7.967146,2
15.157507,1.8376174,-0.05217148,1
14.8267355,-2.54625,-0.4994478,1
-5.9333344,-12.802008,-2.202559,2
-4.490049,-13.7322035,2.5459056,2
12.288533,-7.002032,-1.5440308,1
-5.1543202,-13.952452,0.4233878,2
-4.9063954,-3.1942444,-1.97303,2
14.338212,-4.0448236,-0.78905547,1
-1.1697261,-2.2015545,0.13663642,2
-10.369951,-2.4865959,-2.9378357,2
1.8083993,15.190063,-10.30644,0
1.7098935,15.010349,-9.149203,0
10.650097,-8.637689,-2.897988,1
0.88464594,-2.677376,1.0095336,1
-3.510554,-13.129265,5.628672,2
2.7485807,-3.8408656,1.4493537,1
15.289837,-0.7844626,-0.10848846,1
-7.047813,6.9172673,-1.099233,0
1.7328937,14.603923,-10.367747,0
1.8637838,14.999692,-8.331783,0
2.7933967,-3.8473754,1.4745537,1
5.633794,-5.531471,5.2836065,1
11.513458,-8.245348,-2.477862,1
15.166132,1.6733898,-0.060675662,1
11.800733,-7.472433,-1.4803041,1
9.844866,-9.655853,-3.1918721,1
-9.489719,-2.867168,-3.3172781,2
5.633794,-5.531471,5.2836065,1
-5.6429124,-13.379906,-0.46779248,2
-7.2952642,6.4084806,-1.229307,0
-6.6851473,-10.317853,-6.3096237,2
-5.6324806,-3.1499484,-8.723863,2
9.585443,-10.088666,-2.9731455,1
14.093772,-4.929909,-0.63332003,1
-6.485199,-10.111529,-6.902972,2
11.2679825,-8.446925,-2.0845678,1
-9.390929,2.404595,-3.4794095,2
1.8637838,14.999692,-8.331783,0
-4.8466935,-13.683442,0.7939844,2
7.7861795,5.6229053,-6.255603,1
-1.1697261,-2.2015545,0.13663642,2
-9.744854,1.2626953,-3.8331168,2
-4.2797256,-4.197195,-9.041716,2
1.049221,14.994204,-10.6915,0
11.675506,-8.305227,-2.0724416,1
-3.510554,-13.129265,5.628672,2
-5.1543202,-13.952452,0.4233878,2
-4.3935084,-3.9727993,-9.867434,2
-3.0654688,-13.001967,5.2957134,2
4.2025766,-3.2743754,-7.6655498,1
-4.59175,-3.123667,-1.797038,2
1.5987898,14.690454,-9.734728,0
-4.3725123,-4.444373,-9.633358,2
-0.5629278,-3.1255918,0.123868786,1
2.0683222,-3.4524176,1.2611313,1
-1.4782678,7.8570795,-0.2208788,0
-4.1710014,-3.9082282,-9.713347,2
2.1148045,14.828612,-6.3470545,0
-8.799308,4.063626,-2.8433917,2
-1.8360862,11.626076,-0.29055598,0
1.3073473,14.523724,-10.761538,0
-2.1204727,-2.88106,-0.53680366,2
14.45406,4.3388653,-0.4592297,1
13.666099,-4.7977114,-0.71308386,1
10.0816555,-9.3166685,-3.2203953,1
4.616416,1.992634,-1.9171077,1
14.907269,-2.226913,-0.44343716,1
-0.31199333,-1.486167,1.715278,1
12.942342,-7.870917,-1.0004996,1
11.170484,-7.6959815,-2.348841,1
14.8267355,-2.54625,-0.4994478,1
12.288533,-7.002032,-1.5440308,1
1.817746,14.22313,-3.6907847,0
-7.313726,4.8371353,-1.8051116,0
11.714812,-8.034017,-1.6948706,1
0.39089373,14.072513,-1.0369974,0
-4.723183,-3.124455,-1.8492781,2
-3.0654688,-13.001967,5.2957134,2
10.930695,-8.07296,-2.0469441,1
-1.0105244,5.7632265,-0.104859814,0
11.800733,-7.472433,-1.4803041,1
1.7098935,15.010349,-9.149203,0
1.5987898,14.690454,-9.734728,0
0.4993724,3.9581184,-0.11833851,1
-9.3487425,2.4962108,-3.439993,2
0.0021092163,-3.0821652,0.40170193,1
-2.8125467,-13.085294,6.4961934,2
1.3884544,14.834586,-9.713036,0
2.3146617,14.798735,-5.545775,0
13.666099,-4.7977114,-0.71308386,1
10.296491,-9.05698,-3.1597245,1
12.149468,-7.6238937,-1.8681118,1
14.087602,-4.4841323,-0.54984885,1
3.5589626,-4.2145786,1.6566566,1
-9.432055,2.2395017,-3.5202842,2
2.650109,3.0585606,0.09458472,1
-1.5244501,7.847855,-0.20513067,0
1.9291738,14.882858,-8.17643,0
-5.081415,-13.2262945,0.47391173,2
2.8982637,2.9424446,0.08510423,1
4.2025766,-3.2743754,-7.6655498,1
-9.33374,-2.945285,-2.8691316,2
14.1357565,-4.8113503,-1.0797042,1
2.0544324,14.859545,-5.3298783,0
14.48948,-3.5233436,-0.65455043,1
-0.94656163,2.5990348,-0.24869414,1
-2.8084776,-13.548684,5.29563,2
9.40472,-10.547325,-2.4084318,1
-4.5261884,-13.733386,2.4313467,2
-6.2913923,-11.543352,-4.507728,2
-4.421125,-13.728326,2.6682115,2
-4.796657,5.0416775,3.7631297,0
15.243636,-0.81033343,-0.15808685,1
13.139372,-5.870731,-1.1491926,1
14.830183,-2.5287564,-0.49655604,1
-4.7876987,5.0133743,3.8341227,0
2.3004792,14.709405,-5.331066,0
-4.776453,-4.393052,-9.367769,2
-7.380579,6.443197,-1.335391,0
-6.0292935,-3.5841165,-8.758242,2
-8.550579,-1.0961633,0.7968287,2
-8.79325,4.177308,-2.8047268,2
1.8637838,14.999692,-8.331783,0
-5.8992095,-12.947321,-1.8486108,2
-4.906396,-3.1942444,-1.9730299,2
-1.1697261,-2.2015545,0.13663642,2
12.08555,-7.0003963,-1.6324935,1
-5.089096,-2.8540888,-9.243741,2
-6.6851473,-10.317853,-6.3096237,2
-4.105902,-4.316022,-9.563044,2
10.650097,-8.637689,-2.897988,1
-5.364521,-13.322341,-0.09239685,2
-3.5281727,-13.582753,5.597748,2
-6.7635064,-11.886072,-4.584078,2
-7.1278615,4.559372,-1.8249447,0
-3.1183798,-2.9101975,-1.0294266,2
-8.79325,4.177308,-2.8047268,2
-5.8992095,-12.947321,-1.8486108,2
11.859158,-7.156656,-1.8148801,1
-4.501903,-4.3490243,-9.091874,2
-1.1697261,-2.2015545,0.13663642,2
-7.380579,6.443197,-1.335391,0
-7.047813,6.9172673,-1.099233,0
1.7328937,14.603923,-10.367747,0
15.162459,1.8344984,-0.048156843,1
-5.8921914,-6.395339,-7.980205,2
-4.8201127,-3.2673242,-1.9985088,2
0.9901713,-3.2030213,0.8386517,1
1.3537816,15.293416,-10.750967,0
-3.0654688,-13.001967,5.2957134,2
14.973809,-0.4421596,0.033437934,1
9.893807,-9.580109,-3.208385,1
15.172771,1.9310375,-0.023237584,1
13.894275,-5.129218,-0.8832263,1
-3.499062,-12.917985,7.3366423,2
-3.9462335,-13.624988,3.7723737,2
-0.81684184,-2.8561869,0.08407571,1
-1.7734531,-1.0533283,-0.21903099,2
-6.689802,-9.80847,-6.778906,2
15.067447,2.379927,-0.09361362,1
-3.0654688,-13.001967,5.2957134,2
1.9392145,3.3839936,0.032834098,1
-0.39197055,4.1145372,-0.17639194,0
10.930695,-8.07296,-2.0469441,1
1.6810713,-3.318566,1.1257801,1
-4.8868303,-13.414902,0.47016972,2
1.1826972,-3.255791,0.91388124,1
2.0456412,14.875518,-6.958309,0
1.8637838,14.999692,-8.331783,0
-3.6394134,-12.894646,7.5208173,2
14.0011425,4.5863104,-0.7127418,1
-5.8992095,-12.947321,-1.8486108,2
-4.906396,-3.1942444,-1.9730299,2
-1.1697261,-2.2015545,0.13663642,2
-1.4116021,-3.1362324,-0.27593172,2
-5.9708676,-3.610023,-8.742608,2
6.0412474,4.712576,-7.264739,1
