algorithm,k,perplexity,silhouette
LDA,4,7.109970987601905,0.7198316910011586
LDA,5,7.300365511640008,0.7200128961173793
LDA,6,7.506946221165435,0.7114672169142537
KMeans,3,,0.0555099928570814
KMeans,4,,0.049434878448708156
KMeans,5,,0.054917585110111106
